N,Z,A,Element,Mass Excess (keV),ME Error Margin,ME Calculated?,Binding Energy Per Nucleon (keV),BEN Error Margin,BEN Calculated?,Beta Decay Energy (keV),BDE Error Margin,BDE Calculated?,Atomic Mass (u),AM Error Margin,AM Calculated?
17,13,30,Al,-15864.116,1.936,calculated,8261.1049,0.0645,calculated,8568.8459,1.9357,calculated,29.982969171,2.077,calculated
16,14,30,Si,-24432.962,0.022,calculated,8520.6549,0.0008,calculated,-4232.1065,0.0615,calculated,29.973770137,0.023,calculated
15,15,30,P,-20200.856,0.065,calculated,8353.5064,0.0022,calculated,-6141.6014,0.1956,calculated,29.97831349,0.069,calculated
14,16,30,S,-14059.254,0.206,calculated,8122.7081,0.0069,calculated,-18733.802,23.8769,calculated,29.98490677,0.221,calculated
13,17,30,Cl,4674.548,23.876,calculated,7472.1698,0.7959,calculated,-17397.0,180.0,estimated,30.005018333,25.631,calculated
12,18,30,Ar,22071.0,179.0,estimated,6866.0,6.0,estimated,,,absent,30.023694,192.0,estimated
22,9,31,F,56843.0,535.0,estimated,6011.0,17.0,estimated,25661.0,597.0,estimated,31.061023,574.0,estimated
21,10,31,Ne,31181.594,266.195,calculated,6813.0902,8.5869,calculated,18935.5625,266.5617,calculated,31.033474816,285.772,calculated
20,11,31,Na,12246.031,13.972,calculated,7398.6778,0.4507,calculated,15368.1833,14.3065,calculated,31.013146654,15.0,calculated
19,12,31,Mg,-3122.152,3.074,calculated,7869.1886,0.0992,calculated,11828.5569,3.8009,calculated,30.996648232,3.3,calculated
18,13,31,Al,-14950.709,2.236,calculated,8225.518,0.0721,calculated,7998.3286,2.236,calculated,30.983949754,2.4,calculated
17,14,31,Si,-22949.037,0.043,calculated,8458.2916,0.0014,calculated,1491.5071,0.0434,calculated,30.975363196,0.046,calculated
16,15,31,P,-24440.54442,0.00075,calculated,8481.1677,0.0002,calculated,-5398.013,0.2292,calculated,30.97376199768,0.0008,calculated
15,16,31,S,-19042.531,0.229,calculated,8281.8013,0.0074,calculated,-12007.979,3.4541,calculated,30.979557002,0.246,calculated
14,17,31,Cl,-7034.552,3.447,calculated,7869.2101,0.1112,calculated,-18360.0,200.0,estimated,30.992448097,3.7,calculated
